idiom_id	idiom	sentence_id	sentence_has_idiom	en	es	idiom_detection_pattern
idi023	to serve someone right	idi023-sen02-di	False	This restaurant serves you the dishes with the right amount of seasoning to make them truly memorable.	Este restaurante te sirve los platos con la justa cantidad de condimentos para hacerlos realmente memorables.	serv right
idi025	it's like talking to a brick wall	idi025-sen01-id	True	You're so boring to have a conversation with - it's like talking to a brick wall! 	Tener una conversación contigo es tan aburrido! Es como hablarle a la pared!	talk brick wall
idi025	it's like talking to a brick wall	idi025-sen02-di	False	Let's talk about how a brick wall can add charm and character to any space.	Hablemos de cómo una pared de ladrillo le puede conferir encanto y carácter a cualquier espacio.	talk brick wall
idi026	it's not my cup of tea	idi026-sen01-id	True	Watching the football isn't really my cup of tea, I prefer watching tennis.	Ver el fútbol no es realmente lo mío, prefiero ver el tenis.	cup of tea
idi026	it's not my cup of tea	idi026-sen02-di	False	This is not my cup of tea! She switched the cups and gave me the empty one! So shameless!	Esta no es mi taza de té! Ha cambiado las tazas y me ha dejado la que está vacía! Qué descarada!	cup of tea
idi027	it's not rocket science	idi027-sen01-id	True	Data entry jobs aren't exactly rocket science, but they are extremely boring! 	Los trabajos de Data entry no son nada complejos, pero son muy aburridos!	rocket science
idi027	it's not rocket science	idi027-sen02-di	False	You misunderstood the information on the flyer, the subject of the course offered by Maryland University is not rocket science, but aircraft design. 	Has malinterpretado la información del folleto: el tema del curso ofrecido por la Universidad de Maryland es diseño de aeronaves, no ciencia espacial.	rocket science
idi028	jump in the deep end	idi028-sen01-id	True	It's great to see you've jumped into the deep end with this new job.	Es genial que te hayas lanzado a la piscina con este nuevo trabajo.	jump deep end
idi028	jump in the deep end	idi028-sen02-di	False	After a month of swimming lessons, the children were confident enough to jump into the deep end of the pool.	Después de un mes de clases de natación los niños tenían la confianza suficiente para tirarse a la parte más profunda de la piscina.	jump deep end
idi030	nothing to write home about	idi030-sen01-id	True	I'm having a good time here and the landscape is beautiful, but the food is nothing to write home about.	Aquí me lo estoy pasando bien y el paisaje es hermoso, pero la comida no es nada especial.	nothing home about
idi030	nothing to write home about	idi030-sen02-di	False	I have been traveling abroad for the last three months and now I'm trying to send a letter to my mom to tell her how it is going, but I feel like I have nothing to write home about.	Llevo tres meses viajando fuera de mi país y ahora estoy intentando enviarle una carta a mi madre para contarle cómo me va, pero tengo la sensación de no tener nada que contar.	nothing home about
idi031	off the beaten track	idi031-sen01-id	True	When I travel, I like to  go off the beaten track in order to have an authentic experience instead of getting caught in a tourist trap.	Cuando viajo me gusta alejarme de las zonas más concurridas para vivir una experiencia más auténtica y no caer en trampas para turistas.	off beaten track
idi031	off the beaten track	idi031-sen02-id	True	Their house is so far off the beaten track that I get lost every time I visit.	Su casa está en una zona tan apartada que me pierdo cada vez que voy a visitarlos.	off beaten track
idi031	off the beaten track	idi031-sen03-di	False	We followed the GPS track until it put us off the beaten track on a dirt road full of mud and virtually undrivable.	Seguimos la ruta del navegador hasta que nos sacó del camino transitado y nos mandó por una pista llena de barro y prácticamente intransitable.	off beaten track
idi032	off the top of my head	idi032-sen01-id	True	I can't remember what the scientific name for that flower is off the top of my head, I'll need to look it up.	No recuerdo de memoria el nombre científico de esa flor, tengo que mirarlo. 	off top head
idi032	off the top of my head	idi032-sen02-di	False	Ew, get this bug off the top of my head, how disgusting!	Puaj! Quítame este bicho de la cabeza, qué asco!	off top head
idi033	on top of the world	idi033-sen01-di	False	As the highest mountain on earth, Mount Everest is considered the top of the world.	Al ser la montaña más alta del planeta, el Everest se considera la cima del mundo. 	top of the world
idi034	out of the blue	idi034-sen01-id	True	Weeks and weeks went passed and I heard nothing from her, then one day - out of the blue - she messaged to ask how I was doing… I obviously blocked her though ahaha.	Pasaron semanas y semanas sin que supiera nada de ella y un día de repente me mandó un mensaje preguntándome qué tal estaba... Desde luego la bloquee jajaja	out of the blue
idi034	out of the blue	idi034-sen02-di	False	Would you like to see my new dress? Take it out of the blue box in the closet and I'll put it on to show you.	Te gustaría ver mi vestido nuevo? Sácalo de la caja azul que está en el armario y me lo pondré para enseñartelo.	out of the blue
idi035	spick and span	idi035-sen01-id	True	After 3 hours of cleaning, my kitchen is now spick and span. 	Después de tres horas limpiando, mi cocina ahora está impecable.	spick span
idi035	spick and span	idi035-sen02-di	False	It is difficult to measure the speed and span of the dissemination of the virus	Es difícil medir la velocidad y el alcance de la propagación del virus.	spick span
idi037	the more the merrier	idi037-sen01-id	True	Of course your friends are welcome, the more the merrier!	Claro que tus amigos son bienvenidos, cuantos más mejor!	more the merrier
idi037	the more the merrier	idi037-sen02-di	False	In the past, more people used to get married than today.	Antes la gente se casaba más que ahora.	more the merrier
idi038	the shit's gonna hit the fan	idi038-sen01-id	True	When they finally realise what he's done - shit's gonna hit the fan!	Cuando se den cuenta de lo que ha hecho se va a liar parda!	hit the fan
idi038	the shit's gonna hit the fan	idi038-sen02-di	False	As she rushed out of the room, she hit the fan and knocked it to the floor.	Al salir corriendo de la habitación, golpeó el ventilador y lo tiró al suelo.	hit the fan
idi039	to add fuel to the fire	idi039-sen01-di	False	When the building was already burning, the hooligans added fuel to the fire causing it to become an unstoppable and devastating event.	Cuando el edificio ya estaba en llamas, los vándalos le echaron más combustible al fuego, convirtiéndolo en un evento inarrestable y devastador.	add fuel fire
idi040	to bark up the wrong tree	idi040-sen01-id	True	You are barking up the wrong tree! I don't have anything to do with that. It's not my decision.	Estás buscando en el sitio equivocado! No tengo nada que ver con eso. No es mi decisión.	bark up wrong tree
idi040	to bark up the wrong tree	idi040-sen02-id	True	Look mate, whatever you think you know, I'm telling you, you're barking up the wrong tree. 	Mira tío, sea lo que sea que piensas, te digo que te estás equivocando.	bark up wrong tree
idi040	to bark up the wrong tree	idi040-sen03-di	False	My dog is supposed to be a good hunter, but look at him, he's barking up the wrong tree: the squirrel is on the pine across the street!	Se supone que mi perro es buen cazador, pero míralo, le está ladrando al árbol equivocado: la ardilla está subida al pino al otro lado de la calle!	bark up wrong tree
idi041	to be a night owl	idi041-sen01-id	True	I usually feel most productive in the evening or at night - I'd call myself a night owl. 	En general me siento más productiva por la tarde o por la noche: soy más bien una persona nocturna.	night owl
idi041	to be a night owl	idi041-sen02-di	False	The owl is a night creature and a symbol of wisdom in many cultures.	El búho es una criatura nocturna y un símbolo de sabiduría en muchas culturas.	night owl
idi042	to be a star	idi042-sen01-id	True	Erika has done all the reports for this week - she's a star! 	Erika ha hecho todos los informes de esta semana: es un sol!	star
idi042	to be a star	idi042-sen02-di	False	My friend Laura is a star! Since she started her acting career two years ago, she's already starred in more than five films!	Mi amiga Laura es una estrella! Desde que empezó su carrera de actriz hace dos años ya ha participado en más de cinco películas!	star
idi043	to be crystal clear	idi043-sen01-id	True	To be crystal clear: no, you cannot have your friends round for a sleepover tonight. 	Para ser claros: no, no puedes invitar a tus amigos a dormir esta noche.	crystal clear
idi043	to be crystal clear	idi043-sen02-di	False	The wine was served in clear crystal glasses.	El vino se sirvió en copas de cristal transparente.	crystal clear
idi044	to be full of beans	idi044-sen01-id	True	Wow, she has so much energy - she's full of beans! 	Wow! Tiene tanta energía, es un volcán!	full of beans
idi044	to be full of beans	idi044-sen02-di	False	All those cans in your kitchen pantry are full of beans? Don't you eat anything else in winter?	Todas esas latas en tu despensa están llenas de alubias? No comes nada más en todo el invierno o qué?	full of beans
idi045	to be in the doghouse	idi045-sen01-id	True	She's in the doghouse because she came home slobbering drunk last night and her husband was pretty upset.	Le toca dormir en el sofá porque anoche llegó a casa borracha como una cuba y su marido se enfadó mucho.	in the doghouse
idi045	to be in the doghouse	idi045-sen02-id	True	I'm in the doghouse tonight because I didn't unload the dishwasher like I said I would. 	Esta noche estoy castigado porque no he vaciado el lavavajillas como prometí.	in the doghouse
idi045	to be in the doghouse	idi045-sen03-di	False	Bud is in the doghouse my dad built for him in our backyard, but he seemed happier when he was allowed to sleep on the sofa.	Bud está en la caseta que mi padre construyó para él en el jardín, pero creo que estaba más contento cuando le dejábamos dormir en el sofá.	in the doghouse
idi046	to be on the ball	idi046-sen01-id	True	Unemployment is high, so you need to be on the ball and pounce on any opportunity that you can find because jobs are few and they go fast.	Hay una tasa de desempleo muy alta, así que hay que estar alerta y aprovechar cualquier oportunidad que se presente, porque los empleos son pocos y vuelan rápido. 	on the ball
idi046	to be on the ball	idi046-sen02-id	True	Wow, you're really on the ball today!	Wow! Estás super concentrado hoy!	on the ball
idi046	to be on the ball	idi046-sen03-di	False	Put your foot on the ball and stretch your leg.	Pon el pie sobre la pelota y estira la pierna.	on the ball
idi047	to be over the moon	idi047-sen01-id	True	Her parents are over the moon about her graduation.	Sus padres están muy ilusionados con su graduación.	over the moon
idi047	to be over the moon	idi047-sen02-id	True	I'm over the moon you asked me to go to the cinema with you - I've been wanting to see this film for ages!	Estoy encantada que me hayas propuesto ir al cine contigo: hacía tiempo que quería ver esta película! 	over the moon
idi047	to be over the moon	idi047-sen03-di	False	You are building your solar system model incorrectly: look, Mars cannot be over the Moon, you must move it further to the side in order to reproduce the real positions of the planets.	Estás construyendo mal tu maqueta del sistema solar: mira, Marte no puede estar encima de la Luna, lo tienes que mover un poco hacia un lado para reproducir el orden real de los planetas.	over the moon
idi050	to be snowed under	idi050-sen01-id	True	We didn't have time for that nonsense, we were snowed under with work last month. 	No teníamos tiempo para esas estupideces, estábamos hasta arriba de trabajo el mes pasado. 	snowed under
idi050	to be snowed under	idi050-sen02-id	True	I'm so snowed under with work at the moment, I don't think I'll be able to make it out tonight.	En este momento tengo tanto trabajo creo que no voy a poder salir esta noche.	snowed under
idi050	to be snowed under	idi050-sen03-di	False	It snowed a lot last night and my car disappeared under a white mountain.	Anoche nevó mucho y mi coche desapareció bajo una montaña blanca.	snowed under
idi051	to be the last straw	idi051-sen01-id	True	It was a long relationship, but when he was late again and gave me a lame excuse, that was the last straw, and that's when I decided to break up with him.	Fué una relación larga, pero cuando llegó tarde por enésima vez y me puso una excusa estúpida ya fue lo último y decidí dejarlo.	the last straw
idi051	to be the last straw	idi051-sen02-id	True	Her not coming this weekend was the last straw; I'm not helping her again.	El hecho de que no viniera este fin de semana fue la gota que colmó el vaso; no le ayudaré más.	the last straw
idi051	to be the last straw	idi051-sen03-id	True	That's the last straw! I won't let you push me around any further!	Se acabó! Deja de presionarme ya!	the last straw
idi051	to be the last straw	idi051-sen04-di	False	I have served that cocktail with the last straw we had and I don't have any left for the mojitos... Can you call the provider and order a box?	He servido ese cocktail con la última pajita que teníamos y ya no me quedan para los mojitos... Puedes llamar al proveedor y pedir una caja?	the last straw
idi052	to be up your street	idi052-sen01-id	True	This music is so good - it's totally up my street! 	Esta música es buenísima, es totalmente de mi rollo!	up street
idi052	to be up your street	idi052-sen02-di	False	There is a good Indian restaurant just up your street on the left.	Hay un restaurante indio muy bueno subiendo por tu calle a mano izquierda.	up street
idi053	to beat around the bush	idi053-sen01-id	True	Come on, just tell me, don't beat around the bush.	Venga, dímelo ya, no te vayas por las ramas.	beat around the bush
idi053	to beat around the bush	idi053-sen02-id	True	I'm not going to beat around the bush - I came here to tell you that I am in love you with you.	No voy a andarme con rodeos: he venido para decirte que me he enamorado de ti.	beat around the bush
idi054	to bite off more than you can chew	idi054-sen01-id	True	She loves taking on new projects but she's always biting off more than she can chew.	Le encanta empezar nuevos proyectos, pero siempre acaba queriendo abarcar demasiado.	more than chew
idi054	to bite off more than you can chew	idi054-sen02-di	False	Stop biting off more than you can chew when you eat a hamburger! Seeing food leaking out of your mouth is disgusting!	Deja de morder más de lo que puedes masticar cuando comes una hamburguesa! Ver como se te escurre la comida de la boca es asqueroso!	more than chew
idi055	to bite the bullet	idi055-sen01-id	True	I'm going to have to bite the bullet and tell my sister I ripped the top I borrowed from her. 	Tengo que hacer de tripas corazón y contarle a mi hermana que le he rajado el top que me había prestado.	bit bullet
idi055	to bite the bullet	idi055-sen02-di	False	It is said that in ancient times, soldiers would bite a bullet to withstand the pain when undergoing emergency surgery on the battlefield.	Se narra que, en la antigüedad, los soldados mordían una bala para aguantar el dolor cuando se sometían a una cirugía de urgencia en el campo de batalla.	bit bullet
idi056	to blow your own trumpet	idi056-sen01-id	True	I don't want to sound like I'm blowing my own trumpet, but I'm pretty good at playing the saxophone. 	No es que quiera tirarme flores, pero soy bastante buena tocando el saxofón.	own trumpet
idi056	to blow your own trumpet	idi056-sen02-di	False	To start playing the trumpet, you have to blow into it until a sound comes out... it's not easy!	Para empezar a tocar la trompeta tienes que soplar en ella hasta que salga un sonido... no es tan fácil!	own trumpet
idi057	to bring home the bacon	idi057-sen01-id	True	I've got to go to work to bring home the bacon.	Tengo que ir a trabajar para ganarme el pan.	home the bacon
idi057	to bring home the bacon	idi057-sen02-di	False	Can you bring home the bacon we bought yesterday and left in the fridge of the camper van?	Podrías traer a casa el bacon que compramos ayer y dejamos en la nevera de al autocaravana?	home the bacon
idi058	to cost an arm and a leg	idi058-sen01-id	True	There's no way I'm going to buy that bike, it costs an arm and a leg!  It's way too expensive for me.	Es imposible que me compre esa bicicleta, vale un ojo de la cara! No me la puedo permitir.	cost arm leg
idi058	to cost an arm and a leg	idi058-sen02-id	True	Buying a house nowadays costs an arm and a leg. I'll never have that money!	Comprar una casa hoy en día cuesta un riñón! Nunca me lo podré permitir.	cost arm leg
idi058	to cost an arm and a leg	idi058-sen03-di	False	The war cost the soldier an arm and a leg. He was disabled for the rest of his life.	La guerra le costó al soldado un brazo y una pierna. Se quedó inválido de por vida.	cost arm leg
idi059	to cut someone some slack	idi059-sen01-id	True	Cut me some slack, would you? I'm trying my best and this is really tricky!	¿Podrías darme un respiro? Estoy haciendo lo mejor que puedo y esto es realmente complicado!	slack
idi059	to cut someone some slack	idi059-sen02-di	False	We need to cut and tighten this rope: it is too slack!	Tenemos que cortar y tensar esta cuerda: está demasiado floja!	slack
idi060	to cut the cheese	idi060-sen01-di	False	Can you please cut the cheese and put it on the table?	Podrías cortar el queso y ponerlo en la mesa, por favor?	the cheese
idi061	to cut the mustard	idi061-sen01-id	True	To be quite frank, we've paid £100 each to visit this spa and telling me that we can't come today because you've over booked isn't going to cut the mustard. 	Para ser francos, hemos pagado 100 libras por cabeza para venir a este balneario y que me diga que no podemos ir hoy porque habéis hecho overbooking no me parece aceptable.	the mustard
idi061	to cut the mustard	idi061-sen02-di	False	The lemon juice cut the mustard and the salad went sour. We had to throw it away.	El zumo de limón ha cortado la mostaza y la ensalada se ha vuelto agria. La hemos tenido que tirar.	the mustard
idi062	to cut to the chase	idi062-sen01-id	True	Just cut to the chase! What did she say about us using her ironing board?	Ve al grano ya! Qué te ha dicho de que usáramos su tabla de planchar?	to the chase
idi063	to drive someone nuts	idi063-sen01-id	True	He is so irritating he drives me absolutely nuts.	Es tan irritante que me vuelve completamente loca!	nuts
idi063	to drive someone nuts	idi063-sen02-id	True	Stop singing! You're driving me nuts! 	Deja de cantar ya, me estás volviendo loco!	nuts
idi063	to drive someone nuts	idi063-sen03-di	False	Please drive me to the corner shop, I want to buy some nuts.	Por favor, llévame a la tienda de la esquina, quiero comprar unos frutos secos.	nuts
idi064	to get a move on	idi064-sen01-id	True	We're late to the gig, so, get a move on or we'll miss it completely.	Llegamos tarde al concierto, date prisa o nos lo perderemos del todo.	move on
idi065	to get cold feet	idi065-sen01-di	False	I got cold feet from standing in line all morning at 3 degrees. Now they hurt and I can't walk.	Se me han congelado los pies de estar haciendo cola toda la mañana a 3 grados. Ahora me duelen y no puedo andar.	cold feet
idi066	to get down to business	idi066-sen01-id	True	Have you guys got everything you need to get this work done? Let's get down to business then. 	Tenéis todo lo que necesitáis para hacer este trabajo? Venga, poneros manos a la obra entonces!	down to business
idi068	to get to grips with something	idi068-sen01-id	True	I'm really starting to get to grips with this new software at work - I'm much better at using it now. 	Le estoy empezando a pillar el tranquillo a este nuevo software en el trabajo: ahora lo utilizo mucho mejor.	to grips with
idi068	to get to grips with something	idi068-sen02-di	False	Grips get tighter when you have to hold on to an object with a slippery surface.	Las manos aprietan más cuando hay que agarrar un objeto con una superficie resbaladiza. 	to grips with
idi069	to go out on a limb	idi069-sen01-id	True	I'm going to go out on a limb and say they used the old model for this task.	Me voy a arriesgar a decir que han utilizado el viejo modelo para esta tarea.	out on a limb
idi069	to go out on a limb	idi069-sen02-id	True	I'm going to go out on a limb here and guess that you work in finance.	Me la voy a jugar y decir que trabajas en finanzas.	out on a limb
idi069	to go out on a limb	idi069-sen03-di	False	The main character takes a long time to decide to go out again after having her limbs amputated.	La protagonista tarda mucho en decidirse a volver a salir después de que le amputaran las extremidades.	out on a limb
idi070	to go pear-shaped	idi070-sen01-id	True	One minute everything was ok and the next it had all gone pear-shaped.	Todo estaba bien y de un momento para el otro se fue todo al garete.	pear shape
idi070	to go pear-shaped	idi070-sen02-id	True	This plan has gone a bit pear-shaped - we didn't manage to do any of the things we said we were going to do. 	Nuestro plan se ha ido al traste: no hemos conseguido hacer nada de lo que nos habíamos planteado.	pear shape
idi070	to go pear-shaped	idi070-sen03-di	False	The internet is full of sophisticated suggestions on what to wear if you have a pear-shaped body, but I think I'll go for a simple outfit.	Internet está lleno de sofisticados consejos sobre qué ponerte si tienes un cuerpo en forma de pera, pero creo que optaré por un atuendo sencillo. 	pear shape
idi071	to go with the flow	idi071-sen01-id	True	I'm not going to plan my trip to India - I'm just going to go with the flow when I get there. 	No voy a planificar mi viaje a la India, iré viendo sobre la marcha  una vez esté ahí.	with the flow
idi071	to go with the flow	idi071-sen02-di	False	The leaves go down the river with the flow until they reach the calm lake.	Las hojas bajan el río con la corriente hasta alcanzar las apacibles aguas del lago.	with the flow
idi072	to have a thick skin	idi072-sen01-id	True	She's thick skinned from living in the city for so long - you've gotta be tough to survive there. 	Está curtida de haber vivido tanto tiempo en la ciudad. Tienes que ser fuerte para sobrevivir allí! 	thick skin
idi072	to have a thick skin	idi072-sen02-di	False	Elephants have a thick skin that protects them from parasites and attacks from other animals.	Los elefantes tienen una piel gruesa que los protege de los parásitos y de los ataques de otros animales.	thick skin
idi073	to have bigger fish to fry	idi073-sen01-id	True	I can't help you right now: I have bigger fish to fry.	No te puedo ayudar en este momento, tengo cosas más importantes que hacer!	bigger fish to fry
idi073	to have bigger fish to fry	idi073-sen02-di	False	These fish are bigger than the ones we usually fry, I'm not sure they'll fit in the deep fryer.	Estos pescados son más grandes de los que solemos freír, no sé si van a caber en la freidora.	bigger fish to fry
idi074	to hit the nail on the head	idi074-sen01-id	True	I think you hit the nail on the head with that explanation - that's exactly what Pythagoras' Theorem is used for.	Creo que diste en el clavo con esa explicación: es exactamente para eso que se utiliza el Teorema de Pitágoras.	the nail on the head
idi074	to hit the nail on the head	idi074-sen02-di	False	You have to hit the nail on the head to hammer it deep into the wood.	Hay que golpear el clavo en la cabeza para clavarlo profundamente en la madera.	the nail on the head
idi075	to hit the sack	idi075-sen01-di	False	To win the game, we had to hit the sack hanging from the tree until it ripped and the flour fell down on the opposing players. 	Para ganar el juego, teníamos que golpear el saco colgado en el árbol hasta que se rasgara y la harina se les cayera encima a nuestros contrincantes.	hit the sack
idi076	to judge a book by its cover	idi076-sen01-id	True	You shouldn't judge a book by it's cover - he might be a really nice person.	Las apariencias engañan: podría ser muy buena persona.	judg a book by its cover
idi076	to judge a book by its cover	idi076-sen02-di	False	In the library, I tend to judge a book by its cover: if I don't like the design I won't borrow it, even if someone recommended it to me!	En la biblioteca tiendo a juzgar un libro por su portada: si no me gusta el diseño no lo cojo prestado aunque me lo hayan recomendado!	judg a book by its cover
idi077	to kick the bucket	idi077-sen01-di	False	The horse got nervous, kicked the bucket and dumped all the water we had left for the rest of the day. 	El caballo se puso nervioso, le dió una patada al cubo y tiró toda el agua que nos quedaba para el resto del día.	kick the bucket
idi078	to kill two birds with one stone	idi078-sen01-id	True	I usually kill two birds with one stone and listen to my French class on youtube while I wash the dishes. 	Normalmente mato dos pájaros de un tiro y escucho mi clase de francés mientras friego los platos.	two birds stone
idi078	to kill two birds with one stone	idi078-sen02-id	True	I'll get my dad to visit my grandma, and while he's visiting her, I'll kill two birds with one stone and visit them both at the same time. 	Le diré a mi padre que vaya a visitar a mi abuela y cuando esté allí mataré dos pájaros de un tiro y los visitaré a los dos a la vez.	two birds stone
idi078	to kill two birds with one stone	idi078-sen03-di	False	The other day, my friend was watching her daughter play in the backyard when she suddenly realised that the child had killed two birds with a stone. She was horrified!	El otro día mi amiga estaba mirando a su hija jugar en el jardín y de repente se dio cuenta que la niña había matado dos pájaros con una piedra. Estaba horrorizada!	two birds stone
idi079	to knock someone's socks off	idi079-sen01-id	True	I'm going to write the best report that's ever been written - it'll knock your socks off!	Voy a escribir el mejor informe que se haya escrito jamás. Os va a dejar sin palabras!	knock socks off
